dataset,doc_id,sent_id,this_sent,last_sent,this_sent_tokens,last_sent_tokens,act_idx,obj_idxs,act_type,related_acts,action_annotations,group,label_correctness
cooking,4,0,How to make an English flapjack,,"['How', 'to', 'make', 'an', 'English', 'flapjack']",[],2,"[[5], []]",1,[],make (flapjack),A,0
cooking,4,1,Preheat your oven at 350 degree C and prepare a greased 9 inch pan,How to make an English flapjack,"['Preheat', 'your', 'oven', 'at', '350', 'degree', 'C', 'and', 'prepare', 'a', 'greased', '9', 'inch', 'pan']","['How', 'to', 'make', 'an', 'English', 'flapjack']",6,"[[8], []]",1,[],Preheat (oven),A,0
cooking,4,1,Preheat your oven at 350 degree C and prepare a greased 9 inch pan,How to make an English flapjack,"['Preheat', 'your', 'oven', 'at', '350', 'degree', 'C', 'and', 'prepare', 'a', 'greased', '9', 'inch', 'pan']","['How', 'to', 'make', 'an', 'English', 'flapjack']",14,"[[19], []]",1,[],prepare (pan),A,0
cooking,4,2,You may also use non-stick baking paper which makes the cake easier to pry out,Preheat your oven at 350 degree C and prepare a greased 9 inch pan,"['You', 'may', 'also', 'use', 'non-stick', 'baking', 'paper', 'which', 'makes', 'the', 'cake', 'easier', 'to', 'pry', 'out']","['Preheat', 'your', 'oven', 'at', '350', 'degree', 'C', 'and', 'prepare', 'a', 'greased', '9', 'inch', 'pan']",17,"[[20], []]",1,[],use (paper),A,0
cooking,4,3,In a bowl mix the butter 4 tablespoons of syrup and sugar and aim for a grainy texture,You may also use non-stick baking paper which makes the cake easier to pry out,"['In', 'a', 'bowl', 'mix', 'the', 'butter', '4', 'tablespoons', 'of', 'syrup', 'and', 'sugar', 'and', 'aim', 'for', 'a', 'grainy', 'texture']","['You', 'may', 'also', 'use', 'non-stick', 'baking', 'paper', 'which', 'makes', 'the', 'cake', 'easier', 'to', 'pry', 'out']",18,"[[20, 24, 26], []]",1,[],"mix (butter,syrup,sugar)",A,0
cooking,4,4,Add your pinch of salt to bring out the sweetness and a get a rounder flavor,In a bowl mix the butter 4 tablespoons of syrup and sugar and aim for a grainy texture,"['Add', 'your', 'pinch', 'of', 'salt', 'to', 'bring', 'out', 'the', 'sweetness', 'and', 'a', 'get', 'a', 'rounder', 'flavor']","['In', 'a', 'bowl', 'mix', 'the', 'butter', '4', 'tablespoons', 'of', 'syrup', 'and', 'sugar', 'and', 'aim', 'for', 'a', 'grainy', 'texture']",18,"[[22], []]",1,[],Add (salt),A,0
cooking,4,4,Add your pinch of salt to bring out the sweetness and a get a rounder flavor,In a bowl mix the butter 4 tablespoons of syrup and sugar and aim for a grainy texture,"['Add', 'your', 'pinch', 'of', 'salt', 'to', 'bring', 'out', 'the', 'sweetness', 'and', 'a', 'get', 'a', 'rounder', 'flavor']","['In', 'a', 'bowl', 'mix', 'the', 'butter', '4', 'tablespoons', 'of', 'syrup', 'and', 'sugar', 'and', 'aim', 'for', 'a', 'grainy', 'texture']",24,"[[27], []]",1,[],bring (sweetness),A,0
cooking,4,4,Add your pinch of salt to bring out the sweetness and a get a rounder flavor,In a bowl mix the butter 4 tablespoons of syrup and sugar and aim for a grainy texture,"['Add', 'your', 'pinch', 'of', 'salt', 'to', 'bring', 'out', 'the', 'sweetness', 'and', 'a', 'get', 'a', 'rounder', 'flavor']","['In', 'a', 'bowl', 'mix', 'the', 'butter', '4', 'tablespoons', 'of', 'syrup', 'and', 'sugar', 'and', 'aim', 'for', 'a', 'grainy', 'texture']",30,"[[33], []]",1,[],get (flavor),A,0
cooking,4,5,Take your oats dried fruits and fresh almonds and fold it in the sweet butter mixture,Add your pinch of salt to bring out the sweetness and a get a rounder flavor,"['Take', 'your', 'oats', 'dried', 'fruits', 'and', 'fresh', 'almonds', 'and', 'fold', 'it', 'in', 'the', 'sweet', 'butter', 'mixture']","['Add', 'your', 'pinch', 'of', 'salt', 'to', 'bring', 'out', 'the', 'sweetness', 'and', 'a', 'get', 'a', 'rounder', 'flavor']",16,"[[20, 23], []]",1,[],"Take (fruits,almonds)",A,0
cooking,4,5,Take your oats dried fruits and fresh almonds and fold it in the sweet butter mixture,Add your pinch of salt to bring out the sweetness and a get a rounder flavor,"['Take', 'your', 'oats', 'dried', 'fruits', 'and', 'fresh', 'almonds', 'and', 'fold', 'it', 'in', 'the', 'sweet', 'butter', 'mixture']","['Add', 'your', 'pinch', 'of', 'salt', 'to', 'bring', 'out', 'the', 'sweetness', 'and', 'a', 'get', 'a', 'rounder', 'flavor']",25,"[[20, 23], []]",1,[],"fold (fruits,almonds)",A,0
cooking,4,6,Pour your course batter into your lined pan and stick it into your oven to cook for 45 to 50 minutes or until golden brown,Take your oats dried fruits and fresh almonds and fold it in the sweet butter mixture,"['Pour', 'your', 'course', 'batter', 'into', 'your', 'lined', 'pan', 'and', 'stick', 'it', 'into', 'your', 'oven', 'to', 'cook', 'for', '45', 'to', '50', 'minutes', 'or', 'until', 'golden', 'brown']","['Take', 'your', 'oats', 'dried', 'fruits', 'and', 'fresh', 'almonds', 'and', 'fold', 'it', 'in', 'the', 'sweet', 'butter', 'mixture']",16,"[[18], []]",1,[],Pour (course),A,0
cooking,4,6,Pour your course batter into your lined pan and stick it into your oven to cook for 45 to 50 minutes or until golden brown,Take your oats dried fruits and fresh almonds and fold it in the sweet butter mixture,"['Pour', 'your', 'course', 'batter', 'into', 'your', 'lined', 'pan', 'and', 'stick', 'it', 'into', 'your', 'oven', 'to', 'cook', 'for', '45', 'to', '50', 'minutes', 'or', 'until', 'golden', 'brown']","['Take', 'your', 'oats', 'dried', 'fruits', 'and', 'fresh', 'almonds', 'and', 'fold', 'it', 'in', 'the', 'sweet', 'butter', 'mixture']",25,"[[23], []]",1,[],stick (pan),A,0
cooking,4,6,Pour your course batter into your lined pan and stick it into your oven to cook for 45 to 50 minutes or until golden brown,Take your oats dried fruits and fresh almonds and fold it in the sweet butter mixture,"['Pour', 'your', 'course', 'batter', 'into', 'your', 'lined', 'pan', 'and', 'stick', 'it', 'into', 'your', 'oven', 'to', 'cook', 'for', '45', 'to', '50', 'minutes', 'or', 'until', 'golden', 'brown']","['Take', 'your', 'oats', 'dried', 'fruits', 'and', 'fresh', 'almonds', 'and', 'fold', 'it', 'in', 'the', 'sweet', 'butter', 'mixture']",31,"[[23], []]",1,[],cook (pan),A,0
cooking,4,7,While it's cooking use the remaining tablespoon of syrup to sweeten the lemon juice,Pour your course batter into your lined pan and stick it into your oven to cook for 45 to 50 minutes or until golden brown,"['While', ""it's"", 'cooking', 'use', 'the', 'remaining', 'tablespoon', 'of', 'syrup', 'to', 'sweeten', 'the', 'lemon', 'juice']","['Pour', 'your', 'course', 'batter', 'into', 'your', 'lined', 'pan', 'and', 'stick', 'it', 'into', 'your', 'oven', 'to', 'cook', 'for', '45', 'to', '50', 'minutes', 'or', 'until', 'golden', 'brown']",28,"[[33], []]",1,[],use (syrup),A,0
