story,object_type,nl2p_argument_count,pddl_parameter_count
Chicken-Licken,entity,42,9
Chicken-Licken,item,1,0
Chicken-Licken,location,0,2
Chicken-Licken,unknown,0,0
Hansel and Gretel,entity,28,36
Hansel and Gretel,item,14,5
Hansel and Gretel,location,9,20
Hansel and Gretel,unknown,45,0
Jack and the Beanstalk,entity,9,16
Jack and the Beanstalk,item,12,10
Jack and the Beanstalk,location,6,2
Jack and the Beanstalk,unknown,15,0
The Three Remarks,entity,10,18
The Three Remarks,item,11,4
The Three Remarks,location,8,0
The Three Remarks,unknown,29,0
The Three Little Pigs,entity,11,28
The Three Little Pigs,item,12,13
The Three Little Pigs,location,5,15
The Three Little Pigs,unknown,20,0
The Four Skillful Brothers,entity,3,21
The Four Skillful Brothers,item,20,0
The Four Skillful Brothers,location,1,0
The Four Skillful Brothers,unknown,7,0
