Sentence,NL2P
"Many years ago, a woodcutter and his wife, with their two children, Hansel and Gretel, lived upon the outskirts of a dense wood.",[]
"They were very poor, so that when a famine fell upon the land, and bread became dear, they could no longer afford to buy sufficient food for the whole family.","[{""verb"": ""fell upon"", ""arguments"": [""a famine"", ""the land""]}]"
"One night, as the poor man lay tossing on his hard bed, he cried aloud in his grief and anguish: ""Alas!",[]
what will become of us?,[]
"How can I feed my hungry little ones when we have no food for ourselves?""",[]
"""Listen to me, good-man,"" answered his wife, who was stepmother to the children.",[]
"""As it is no longer possible for us to keep our children, we will take them into the wood with us tomorrow, light a fire for them, and give each a piece of bread and leave them.",[]
"They will not easily find their way back, and so we shall be rid of the burden of them.""",[]
"But the father said: ""No, no!",[]
I could not find it in my heart to leave my darlings to perish.,[]
"The wild beasts would tear them limb from limb.""",[]
"""Then,"" answered the wife, ""we must all four die of hunger.""",[]
"She gave her husband no peace until he promised to do as she wished, and at last, very unwillingly, he consented.",[]
"Now, the two children had been too hungry to go to sleep that night, and so it happened that they overheard all that their parents were saying.",[]
"Gretel wept bitterly, but brave little Hansel did his best to comfort her.",[]
"""Don't be afraid,"" he said; ""I will take care of you.""",[]
"As soon as his father and stepmother were asleep, he slipped on his coat, and-opening the door softly, went out into the garden.","[{""verb"": ""slipped on"", ""arguments"": [""his coat""]}, {""verb"": ""opened"", ""arguments"": [""the door""]}, {""verb"": ""went out"", ""arguments"": [""Hansel""]}]"
"The moon was shining brightly, and by its light he could see the little white pebbles that lay scattered in front of the house, shining like little pieces of silver.",[]
"He stooped and filled his pockets as full as he could, and then went back to Gretel, and once more bidding her be comforted, for God would be sure to watch over them, he jumped into bed, and they both fell fast asleep.","[{""verb"": ""filled"", ""arguments"": [""his pockets"", ""little white pebbles""]}, {""verb"": ""went back"", ""arguments"": [""Hansel""]}, {""verb"": ""jumped"", ""arguments"": [""Hansel""]}, {""verb"": ""fell asleep"", ""arguments"": [""Hansel"", ""Gretel""]}]"
"Early in the morning, before the sun had risen, the stepmother came and wakened the children.","[{""verb"": ""wakened"", ""arguments"": [""the children""]}]"
"""Rise, little lie-a-beds,"" she said, ""and come with us into the wood to gather fuel.""",[]
"She gave them each a piece of bread for their dinner, and told them to be sure not to eat it too soon, for they would get nothing more.","[{""verb"": ""gave"", ""arguments"": [""each a piece of bread""]}]"
"Gretel carried the bread in her pinafore, because Hansel had his pockets full, and then they all set out upon their way to the wood.","[{""verb"": ""carried"", ""arguments"": [""the bread""]}, {""verb"": ""set out"", ""arguments"": [""the father"", ""the stepmother"", ""Hansel"", ""Gretel""]}]"
"As they trudged along, the father noticed that his little son kept turning back to look at the house.",[]
"""Take care, my boy,"" he said, ""or you will slip.",[]
"What are you looking at so earnestly?""",[]
"""I am watching my kitten, father: she is sitting on the roof to bid me good-by.""",[]
"""Silly little lad, that is not your cat,"" said the stepmother; ""it is only the morning sun shining on the chimney.""",[]
But Hansel had not been watching his cat at all; he had stayed behind to drop the pebbles upon the path.,"[{""verb"": ""dropped"", ""arguments"": [""the pebbles""]}]"
"When they reached the thickest part of the forest, the father bade the children gather wood, that he might kindle a fire for them, so that they might rest beside it and warm themselves whilst he and his wife were cutting the fuel.",[]
"So they gathered a pile of brushwood and twigs, and as soon as it was well alight, the parents left them, promising to return as soon as they had finished their work.","[{""verb"": ""gathered"", ""arguments"": [""a pile of brushwood and twigs""]}, {""verb"": ""left"", ""arguments"": [""the children""]}]"
"Hansel and Gretel sat down by the fire, and when midday came they ate their bread and sat listening to the strokes of their father's axe, thinking all the time that he was near to them.","[{""verb"": ""ate"", ""arguments"": [""their bread""]}]"
"But what they heard was only a dry branch which the man had bound to a tree, so that the wind swung it hither and thither, and the noise it made deceived the children.","[{""verb"": ""bound"", ""arguments"": [""a dry branch"", ""a tree""]}]"
