dataset,doc_id,sent_id,this_sent,last_sent,this_sent_tokens,last_sent_tokens,act_idx,obj_idxs,act_type,related_acts,action_annotations,group,label_correctness,error_type,sub_error_type,comment
cooking,11,0,How to make beef stroganoff,,"['How', 'to', 'make', 'beef', 'stroganoff']",[],2,"[[3, 4], []]",1,[],"make (beef,stroganoff)",B,0,extra arguments,unnecessary head word,
cooking,11,1,Melt 3 tablespoons of butter (or alternately heat equivalent amount of olive oil) in skillet over medium heat,How to make beef stroganoff,"['Melt', '3', 'tablespoons', 'of', 'butter', '(or', 'alternately', 'heat', 'equivalent', 'amount', 'of', 'olive', 'oil)', 'in', 'skillet', 'over', 'medium', 'heat']","['How', 'to', 'make', 'beef', 'stroganoff']",5,"[[9], []]",1,[],Melt (butter),B,1,,,
cooking,11,1,Melt 3 tablespoons of butter (or alternately heat equivalent amount of olive oil) in skillet over medium heat,How to make beef stroganoff,"['Melt', '3', 'tablespoons', 'of', 'butter', '(or', 'alternately', 'heat', 'equivalent', 'amount', 'of', 'olive', 'oil)', 'in', 'skillet', 'over', 'medium', 'heat']","['How', 'to', 'make', 'beef', 'stroganoff']",12,"[[16, 17], []]",1,[],"heat (olive,oil))",B,0,extra arguments,unnecessary head word,
cooking,11,2,Increase heat to high and add beef working in batches if needed,Melt 3 tablespoons of butter (or alternately heat equivalent amount of olive oil) in skillet over medium heat,"['Increase', 'heat', 'to', 'high', 'and', 'add', 'beef', 'working', 'in', 'batches', 'if', 'needed']","['Melt', '3', 'tablespoons', 'of', 'butter', '(or', 'alternately', 'heat', 'equivalent', 'amount', 'of', 'olive', 'oil)', 'in', 'skillet', 'over', 'medium', 'heat']",18,"[[19], []]",2,[],Increase (heat),B,1,,,
cooking,11,2,Increase heat to high and add beef working in batches if needed,Melt 3 tablespoons of butter (or alternately heat equivalent amount of olive oil) in skillet over medium heat,"['Increase', 'heat', 'to', 'high', 'and', 'add', 'beef', 'working', 'in', 'batches', 'if', 'needed']","['Melt', '3', 'tablespoons', 'of', 'butter', '(or', 'alternately', 'heat', 'equivalent', 'amount', 'of', 'olive', 'oil)', 'in', 'skillet', 'over', 'medium', 'heat']",23,"[[24], []]",2,[],add (beef),B,1,,,
cooking,11,3,Brown well on each side but avoid burning,Increase heat to high and add beef working in batches if needed,"['Brown', 'well', 'on', 'each', 'side', 'but', 'avoid', 'burning']","['Increase', 'heat', 'to', 'high', 'and', 'add', 'beef', 'working', 'in', 'batches', 'if', 'needed']",11,"[[6], []]",1,[],needed (beef),B,2,wrong action,,
cooking,11,3,Brown well on each side but avoid burning,Increase heat to high and add beef working in batches if needed,"['Brown', 'well', 'on', 'each', 'side', 'but', 'avoid', 'burning']","['Increase', 'heat', 'to', 'high', 'and', 'add', 'beef', 'working', 'in', 'batches', 'if', 'needed']",19,"[[6], []]",1,[],burning (beef),B,2,wrong action,,negation?
cooking,11,4,Sprinkle salt and pepper on the beef then take the meat out of the pan and set aside,Brown well on each side but avoid burning,"['Sprinkle', 'salt', 'and', 'pepper', 'on', 'the', 'beef', 'then', 'take', 'the', 'meat', 'out', 'of', 'the', 'pan', 'and', 'set', 'aside']","['Brown', 'well', 'on', 'each', 'side', 'but', 'avoid', 'burning']",8,"[[9, 11], []]",1,[],"Sprinkle (salt,pepper)",B,1,,,
cooking,11,4,Sprinkle salt and pepper on the beef then take the meat out of the pan and set aside,Brown well on each side but avoid burning,"['Sprinkle', 'salt', 'and', 'pepper', 'on', 'the', 'beef', 'then', 'take', 'the', 'meat', 'out', 'of', 'the', 'pan', 'and', 'set', 'aside']","['Brown', 'well', 'on', 'each', 'side', 'but', 'avoid', 'burning']",16,"[[18], []]",1,[],take (meat),B,1,,,
cooking,11,4,Sprinkle salt and pepper on the beef then take the meat out of the pan and set aside,Brown well on each side but avoid burning,"['Sprinkle', 'salt', 'and', 'pepper', 'on', 'the', 'beef', 'then', 'take', 'the', 'meat', 'out', 'of', 'the', 'pan', 'and', 'set', 'aside']","['Brown', 'well', 'on', 'each', 'side', 'but', 'avoid', 'burning']",24,"[[18], []]",1,[],set (meat),B,1,,,
cooking,11,5,In same skillet add the shallots or onions and cook for one to two minutes,Sprinkle salt and pepper on the beef then take the meat out of the pan and set aside,"['In', 'same', 'skillet', 'add', 'the', 'shallots', 'or', 'onions', 'and', 'cook', 'for', 'one', 'to', 'two', 'minutes']","['Sprinkle', 'salt', 'and', 'pepper', 'on', 'the', 'beef', 'then', 'take', 'the', 'meat', 'out', 'of', 'the', 'pan', 'and', 'set', 'aside']",21,"[[23], [25]]",1,[],add (shallots); add (onions),B,1,,,
cooking,11,5,In same skillet add the shallots or onions and cook for one to two minutes,Sprinkle salt and pepper on the beef then take the meat out of the pan and set aside,"['In', 'same', 'skillet', 'add', 'the', 'shallots', 'or', 'onions', 'and', 'cook', 'for', 'one', 'to', 'two', 'minutes']","['Sprinkle', 'salt', 'and', 'pepper', 'on', 'the', 'beef', 'then', 'take', 'the', 'meat', 'out', 'of', 'the', 'pan', 'and', 'set', 'aside']",27,"[[20], []]",1,[],cook (skillet),B,2,missing arguments,missing valid argument,cook skillet or cook shallots
cooking,11,6,Allow the shallots to soak up the drippings from the beef,In same skillet add the shallots or onions and cook for one to two minutes,"['Allow', 'the', 'shallots', 'to', 'soak', 'up', 'the', 'drippings', 'from', 'the', 'beef']","['In', 'same', 'skillet', 'add', 'the', 'shallots', 'or', 'onions', 'and', 'cook', 'for', 'one', 'to', 'two', 'minutes']",19,"[[17], []]",1,[],soak (shallots),B,2,missing arguments,missing valid argument,soak shallots or soak drippings
cooking,11,7,Remove shallots from the pan and move to the same bowl as the beef,Allow the shallots to soak up the drippings from the beef,"['Remove', 'shallots', 'from', 'the', 'pan', 'and', 'move', 'to', 'the', 'same', 'bowl', 'as', 'the', 'beef']","['Allow', 'the', 'shallots', 'to', 'soak', 'up', 'the', 'drippings', 'from', 'the', 'beef']",11,"[[12], []]",1,[],Remove (shallots),B,1,,,
cooking,11,7,Remove shallots from the pan and move to the same bowl as the beef,Allow the shallots to soak up the drippings from the beef,"['Remove', 'shallots', 'from', 'the', 'pan', 'and', 'move', 'to', 'the', 'same', 'bowl', 'as', 'the', 'beef']","['Allow', 'the', 'shallots', 'to', 'soak', 'up', 'the', 'drippings', 'from', 'the', 'beef']",17,"[[12], []]",1,[],move (shallots),B,1,,,
cooking,11,8,Add the remaining 3 tablespoons of butter or olive oil,Remove shallots from the pan and move to the same bowl as the beef,"['Add', 'the', 'remaining', '3', 'tablespoons', 'of', 'butter', 'or', 'olive', 'oil']","['Remove', 'shallots', 'from', 'the', 'pan', 'and', 'move', 'to', 'the', 'same', 'bowl', 'as', 'the', 'beef']",14,"[[20], [22, 23]]",1,[],"Add (butter); Add (olive,oil)",B,0,extra arguments,unnecessary head word,
cooking,11,9,Add the mushrooms and cook over medium-high heat,Add the remaining 3 tablespoons of butter or olive oil,"['Add', 'the', 'mushrooms', 'and', 'cook', 'over', 'medium-high', 'heat']","['Add', 'the', 'remaining', '3', 'tablespoons', 'of', 'butter', 'or', 'olive', 'oil']",10,"[[12], []]",1,[],Add (mushrooms),B,1,,,
cooking,11,9,Add the mushrooms and cook over medium-high heat,Add the remaining 3 tablespoons of butter or olive oil,"['Add', 'the', 'mushrooms', 'and', 'cook', 'over', 'medium-high', 'heat']","['Add', 'the', 'remaining', '3', 'tablespoons', 'of', 'butter', 'or', 'olive', 'oil']",14,"[[12], []]",1,[],cook (mushrooms),B,1,,,
cooking,11,10,Cook for about 4 minutes stirring occasionally,Add the mushrooms and cook over medium-high heat,"['Cook', 'for', 'about', '4', 'minutes', 'stirring', 'occasionally']","['Add', 'the', 'mushrooms', 'and', 'cook', 'over', 'medium-high', 'heat']",8,"[[2], []]",1,[],Cook (mushrooms),B,1,,,
cooking,11,10,Cook for about 4 minutes stirring occasionally,Add the mushrooms and cook over medium-high heat,"['Cook', 'for', 'about', '4', 'minutes', 'stirring', 'occasionally']","['Add', 'the', 'mushrooms', 'and', 'cook', 'over', 'medium-high', 'heat']",13,"[[2], []]",1,[],stirring (mushrooms),B,1,,,
cooking,11,11,Sprinkle tarragon and nutmeg onto the mushrooms,Cook for about 4 minutes stirring occasionally,"['Sprinkle', 'tarragon', 'and', 'nutmeg', 'onto', 'the', 'mushrooms']","['Cook', 'for', 'about', '4', 'minutes', 'stirring', 'occasionally']",7,"[[8, 10], []]",1,[],"Sprinkle (tarragon,nutmeg)",B,1,extra arguments,unnecessary head word,
cooking,11,12,Reduce heat and add the sour cream to the mushrooms,Sprinkle tarragon and nutmeg onto the mushrooms,"['Reduce', 'heat', 'and', 'add', 'the', 'sour', 'cream', 'to', 'the', 'mushrooms']","['Sprinkle', 'tarragon', 'and', 'nutmeg', 'onto', 'the', 'mushrooms']",7,"[[8], []]",1,[],Reduce (heat),B,1,,,
cooking,11,12,Reduce heat and add the sour cream to the mushrooms,Sprinkle tarragon and nutmeg onto the mushrooms,"['Reduce', 'heat', 'and', 'add', 'the', 'sour', 'cream', 'to', 'the', 'mushrooms']","['Sprinkle', 'tarragon', 'and', 'nutmeg', 'onto', 'the', 'mushrooms']",10,"[[13], []]",1,[],add (cream),B,1,,,
cooking,11,13,Turn to very low heat,Reduce heat and add the sour cream to the mushrooms,"['Turn', 'to', 'very', 'low', 'heat']","['Reduce', 'heat', 'and', 'add', 'the', 'sour', 'cream', 'to', 'the', 'mushrooms']",10,"[[14], []]",1,[],Turn (heat),B,1,,,
cooking,11,14,Dilute if needed with one or two tablespoons of water,Turn to very low heat,"['Dilute', 'if', 'needed', 'with', 'one', 'or', 'two', 'tablespoons', 'of', 'water']","['Turn', 'to', 'very', 'low', 'heat']",5,"[[-1], []]",2,[],Dilute (UNKNOWN),B,2,missing arguments,missing valid argument,
cooking,11,15,Mix thoroughly,Dilute if needed with one or two tablespoons of water,"['Mix', 'thoroughly']","['Dilute', 'if', 'needed', 'with', 'one', 'or', 'two', 'tablespoons', 'of', 'water']",10,"[[-1], []]",1,[],Mix (UNKNOWN),B,2,missing arguments,missing valid argument,
cooking,11,17,Add the beef and shallots,Do not allow the mixture to boil or simmer because the sour cream will curdle if it does,"['Add', 'the', 'beef', 'and', 'shallots']","['Do', 'not', 'allow', 'the', 'mixture', 'to', 'boil', 'or', 'simmer', 'because', 'the', 'sour', 'cream', 'will', 'curdle', 'if', 'it', 'does']",18,"[[20, 22], []]",1,[],"Add (beef,shallots)",B,1,,,
cooking,11,18,Mix thoroughly so that the beef and mushrooms are well coated with the sauce,Add the beef and shallots,"['Mix', 'thoroughly', 'so', 'that', 'the', 'beef', 'and', 'mushrooms', 'are', 'well', 'coated', 'with', 'the', 'sauce']","['Add', 'the', 'beef', 'and', 'shallots']",5,"[[-1], []]",1,[],Mix (UNKNOWN),B,2,missing arguments,missing valid argument,
cooking,11,19,Add salt and pepper according to your taste,Mix thoroughly so that the beef and mushrooms are well coated with the sauce,"['Add', 'salt', 'and', 'pepper', 'according', 'to', 'your', 'taste']","['Mix', 'thoroughly', 'so', 'that', 'the', 'beef', 'and', 'mushrooms', 'are', 'well', 'coated', 'with', 'the', 'sauce']",14,"[[15, 17], []]",1,[],"Add (salt,pepper)",B,1,,,
cooking,11,20,Beef stroganoff tastes great when served hot over cooked pasta (spaghetti linguine or fettuccine),Add salt and pepper according to your taste,"['Beef', 'stroganoff', 'tastes', 'great', 'when', 'served', 'hot', 'over', 'cooked', 'pasta', '(spaghetti', 'linguine', 'or', 'fettuccine)']","['Add', 'salt', 'and', 'pepper', 'according', 'to', 'your', 'taste']",13,"[[8, 9, 17], []]",1,[],"served (Beef,stroganoff,pasta)",B,0,extra arguments,"unnecessary head word, preposition arguments",
cooking,36,0,By having meals such as soup prepared with carrots you can be able to prevent many cardiovascular diseases and cancers,Beta carotene is what gives a carrot its color,"['By', 'having', 'meals', 'such', 'as', 'soup', 'prepared', 'with', 'carrots', 'you', 'can', 'be', 'able', 'to', 'prevent', 'many', 'cardiovascular', 'diseases', 'and', 'cancers']","['Beta', 'carotene', 'is', 'what', 'gives', 'a', 'carrot', 'its', 'color']",10,"[[11], []]",1,[],having (meals),B,1,,,
