story,nl2p_verb,occurrences,observed_arities,inferred_type_signatures,best_pddl_action,name_similarity
Chicken-Licken,was going,1,1,entity,go_to_wood,0.5
Chicken-Licken,fell,1,1,item,inform_about_sky_fall,0.4
Chicken-Licken,turned back,8,1,entity,turn_back,1.0
Chicken-Licken,met,8,1,entity,meet_character,1.0
Chicken-Licken,walked,1,1,entity,turn_back,0.0
Chicken-Licken,were going along,1,8,entity | entity | entity | entity | entity | entity | entity | entity,go_to_wood,0.4
Chicken-Licken,took,1,8,entity | entity | entity | entity | entity | entity | entity | entity,turn_back,0.0
Chicken-Licken,ate up,1,8,entity | entity | entity | entity | entity | entity | entity | entity,be_eaten_by_fox,0.667
Hansel and Gretel,fell upon,1,2,unknown | unknown,witch_captures_children,0.0
Hansel and Gretel,slipped on,1,1,unknown,witch_captures_children,0.0
Hansel and Gretel,opened,3,1,location,witch_captures_children,0.0
Hansel and Gretel,went out,1,1,entity,wander_forest_seeking_way_out,0.286
Hansel and Gretel,filled,2,2,unknown | item,witch_captures_children,0.0
Hansel and Gretel,went back,1,1,entity,witch_captures_children,0.0
Hansel and Gretel,jumped,1,1,entity,witch_captures_children,0.0
Hansel and Gretel,fell asleep,2,2,entity | unknown,witch_captures_children,0.0
Hansel and Gretel,wakened,2,1,unknown,witch_captures_children,0.0
Hansel and Gretel,gave,2,1,item,witch_captures_children,0.0
Hansel and Gretel,carried,4,1,entity; item; unknown,witch_captures_children,0.0
Hansel and Gretel,set out,1,4,unknown | unknown | entity | unknown,wander_forest_seeking_way_out,0.286
Hansel and Gretel,dropped,2,1,item; unknown,witch_captures_children,0.0
Hansel and Gretel,gathered,1,1,item,witch_captures_children,0.0
Hansel and Gretel,left,2,1,entity; unknown,leave_children_at_fire,0.667
Hansel and Gretel,bound,1,2,location | location,witch_captures_children,0.0
Hansel and Gretel,ate,4,1,item; unknown,witch_captures_children,0.0
Hansel and Gretel,came to,3,1 | 2,entity; entity | unknown,witch_captures_children,0.0
Hansel and Gretel,knocked at,1,1,location,witch_captures_children,0.0
Hansel and Gretel,stole down,1,1,entity,witch_captures_children,0.0
Hansel and Gretel,crumbled,1,1,item,witch_captures_children,0.0
Hansel and Gretel,strewed,1,1,item,witch_captures_children,0.0
Hansel and Gretel,kindled,1,1,unknown,witch_captures_children,0.0
Hansel and Gretel,divided,1,1,item,witch_captures_children,0.0
Hansel and Gretel,went to sleep,1,2,entity | unknown,witch_captures_children,0.0
Hansel and Gretel,traveled,1,2,entity | unknown,witch_captures_children,0.0
Hansel and Gretel,slept,1,2,entity | unknown,witch_captures_children,0.0
Hansel and Gretel,flew away,1,1,entity,witch_captures_children,0.0
Hansel and Gretel,followed,1,1,entity,follow_pebbles_home,0.5
Hansel and Gretel,reached,1,2,entity | unknown,witch_captures_children,0.0
Hansel and Gretel,perched,1,1,entity,witch_captures_children,0.0
Hansel and Gretel,nibbled,1,1,location,witch_captures_children,0.0
Hansel and Gretel,flew open,1,1,location,witch_captures_children,0.0
