story,event_index,nl2p_verb,nl2p_arguments,inferred_argument_types,matched_constants,best_pddl_action,name_similarity,pddl_parameter_types,type_overlap
Chicken-Licken,1,was going,Chicken-licken,entity,chicken-licken,go_to_wood,0.5,entity,1.0
Chicken-Licken,2,fell,an acorn,item,acorn,inform_about_sky_fall,0.4,entity | entity,0.0
Chicken-Licken,3,turned back,Chicken-licken,entity,chicken-licken,turn_back,1.0,entity,1.0
Chicken-Licken,4,met,Hen-len,entity,hen-len,meet_character,1.0,entity | entity | location,0.5
Chicken-Licken,5,turned back,Hen-len,entity,hen-len,turn_back,1.0,entity,1.0
Chicken-Licken,6,met,Cock-lock,entity,cock-lock,meet_character,1.0,entity | entity | location,0.5
Chicken-Licken,7,turned back,Cock-lock,entity,cock-lock,turn_back,1.0,entity,1.0
Chicken-Licken,8,met,Duck-luck,entity,duck-luck,meet_character,1.0,entity | entity | location,0.5
Chicken-Licken,9,turned back,Duck-luck,entity,duck-luck,turn_back,1.0,entity,1.0
Chicken-Licken,10,met,Drake-lake,entity,drake-lake,meet_character,1.0,entity | entity | location,0.5
Chicken-Licken,11,turned back,Drake-lake,entity,drake-lake,turn_back,1.0,entity,1.0
Chicken-Licken,12,met,Goose-loose,entity,goose-loose,meet_character,1.0,entity | entity | location,0.5
Chicken-Licken,13,turned back,Goose-loose,entity,goose-loose,turn_back,1.0,entity,1.0
Chicken-Licken,14,met,Gander-lander,entity,gander-lander,meet_character,1.0,entity | entity | location,0.5
Chicken-Licken,15,turned back,Gander-lander,entity,gander-lander,turn_back,1.0,entity,1.0
Chicken-Licken,16,met,Turkey-lurkey,entity,turkey-lurkey,meet_character,1.0,entity | entity | location,0.5
Chicken-Licken,17,turned back,Turkey-lurkey,entity,turkey-lurkey,turn_back,1.0,entity,1.0
Chicken-Licken,18,walked,Turkey-lurkey,entity,turkey-lurkey,turn_back,0.0,entity,1.0
Chicken-Licken,19,were going along,Turkey-lurkey | Gander-lander | Goose-loose | Drake-lake | Duck-luck | Cock-lock | Hen-len | Chicken-licken,entity | entity | entity | entity | entity | entity | entity | entity,turkey-lurkey | gander-lander | goose-loose | drake-lake | duck-luck | cock-lock | hen-len | chicken-licken,go_to_wood,0.4,entity,0.222
Chicken-Licken,20,met,Fox-lox,entity,fox-lox,meet_character,1.0,entity | entity | location,0.5
Chicken-Licken,21,took,Chicken-licken | Hen-len | Cock-lock | Duck-luck | Drake-lake | Goose-loose | Gander-lander | Turkey-lurkey,entity | entity | entity | entity | entity | entity | entity | entity,chicken-licken | hen-len | cock-lock | duck-luck | drake-lake | goose-loose | gander-lander | turkey-lurkey,turn_back,0.0,entity,0.222
Chicken-Licken,22,ate up,Chicken-licken | Hen-len | Cock-lock | Duck-luck | Drake-lake | Goose-loose | Gander-lander | Turkey-lurkey,entity | entity | entity | entity | entity | entity | entity | entity,chicken-licken | hen-len | cock-lock | duck-luck | drake-lake | goose-loose | gander-lander | turkey-lurkey,be_eaten_by_fox,0.667,entity | location,0.2
Hansel and Gretel,1,fell upon,a famine | the land,unknown | unknown, | ,witch_captures_children,0.0,entity | entity | entity | location | location,
Hansel and Gretel,2,slipped on,his coat,unknown,,witch_captures_children,0.0,entity | entity | entity | location | location,
Hansel and Gretel,3,opened,the door,location,door,witch_captures_children,0.0,entity | entity | entity | location | location,0.333
Hansel and Gretel,4,went out,Hansel,entity,hansel,wander_forest_seeking_way_out,0.286,entity | entity | location,0.5
Hansel and Gretel,5,filled,his pockets | little white pebbles,unknown | item, | pebble,witch_captures_children,0.0,entity | entity | entity | location | location,0.0
Hansel and Gretel,6,went back,Hansel,entity,hansel,witch_captures_children,0.0,entity | entity | entity | location | location,0.333
Hansel and Gretel,7,jumped,Hansel,entity,hansel,witch_captures_children,0.0,entity | entity | entity | location | location,0.333
Hansel and Gretel,8,fell asleep,Hansel | Gretel,entity | unknown,hansel | ,witch_captures_children,0.0,entity | entity | entity | location | location,0.333
Hansel and Gretel,9,wakened,the children,unknown,,witch_captures_children,0.0,entity | entity | entity | location | location,
Hansel and Gretel,10,gave,each a piece of bread,item,bread_piece,witch_captures_children,0.0,entity | entity | entity | location | location,0.0
Hansel and Gretel,11,carried,the bread,item,bread_piece,witch_captures_children,0.0,entity | entity | entity | location | location,0.0
Hansel and Gretel,12,set out,the father | the stepmother | Hansel | Gretel,unknown | unknown | entity | unknown, |  | hansel | ,wander_forest_seeking_way_out,0.286,entity | entity | location,0.5
Hansel and Gretel,13,dropped,the pebbles,item,pebble,witch_captures_children,0.0,entity | entity | entity | location | location,0.0
Hansel and Gretel,14,gathered,a pile of brushwood and twigs,item,brushwood,witch_captures_children,0.0,entity | entity | entity | location | location,0.0
Hansel and Gretel,15,left,the children,unknown,,leave_children_at_fire,0.667,entity | entity | entity | entity | location,
Hansel and Gretel,16,bound,a dry branch | a tree,location | location,branch | dead_tree,witch_captures_children,0.0,entity | entity | entity | location | location,0.571
Hansel and Gretel,17,ate,their bread,item,bread_piece,witch_captures_children,0.0,entity | entity | entity | location | location,0.0
Hansel and Gretel,18,fell asleep,Hansel | Gretel,entity | unknown,hansel | ,witch_captures_children,0.0,entity | entity | entity | location | location,0.333
Hansel and Gretel,19,came to,Hansel | Gretel,entity | unknown,hansel | ,witch_captures_children,0.0,entity | entity | entity | location | location,0.333
Hansel and Gretel,20,knocked at,the door,location,door,witch_captures_children,0.0,entity | entity | entity | location | location,0.333
Hansel and Gretel,21,opened,the door,location,door,witch_captures_children,0.0,entity | entity | entity | location | location,0.333
Hansel and Gretel,22,stole down,Hansel,entity,hansel,witch_captures_children,0.0,entity | entity | entity | location | location,0.333
Hansel and Gretel,23,wakened,the children,unknown,,witch_captures_children,0.0,entity | entity | entity | location | location,
Hansel and Gretel,24,gave,a small piece of bread,item,bread_piece,witch_captures_children,0.0,entity | entity | entity | location | location,0.0
Hansel and Gretel,25,crumbled,his morsel of bread,item,,witch_captures_children,0.0,entity | entity | entity | location | location,0.0
Hansel and Gretel,26,strewed,the crumbs,item,crumb,witch_captures_children,0.0,entity | entity | entity | location | location,0.0
Hansel and Gretel,27,kindled,a great fire,unknown,,witch_captures_children,0.0,entity | entity | entity | location | location,
Hansel and Gretel,28,divided,her piece of bread,item,bread_piece,witch_captures_children,0.0,entity | entity | entity | location | location,0.0
Hansel and Gretel,29,went to sleep,Hansel | Gretel,entity | unknown,hansel | ,witch_captures_children,0.0,entity | entity | entity | location | location,0.333
Hansel and Gretel,30,ate,the crumbs,item,crumb,witch_captures_children,0.0,entity | entity | entity | location | location,0.0
Hansel and Gretel,31,traveled,Hansel | Gretel,entity | unknown,hansel | ,witch_captures_children,0.0,entity | entity | entity | location | location,0.333
Hansel and Gretel,32,slept,Hansel | Gretel,entity | unknown,hansel | ,witch_captures_children,0.0,entity | entity | entity | location | location,0.333
Hansel and Gretel,33,flew away,the little snow-white bird,entity,bird,witch_captures_children,0.0,entity | entity | entity | location | location,0.333
Hansel and Gretel,34,followed,the little snow-white bird,entity,bird,follow_pebbles_home,0.5,entity | entity | location | location,0.4
Hansel and Gretel,35,reached,Hansel | Gretel,entity | unknown,hansel | ,witch_captures_children,0.0,entity | entity | entity | location | location,0.333
Hansel and Gretel,36,perched,the little snow-white bird,entity,bird,witch_captures_children,0.0,entity | entity | entity | location | location,0.333
Hansel and Gretel,37,nibbled,one of the window-panes,location,window,witch_captures_children,0.0,entity | entity | entity | location | location,0.333
Hansel and Gretel,38,ate,the cake of which the roof was made,unknown,,witch_captures_children,0.0,entity | entity | entity | location | location,
Hansel and Gretel,39,ate,the barley-sugar window-panes,item,,witch_captures_children,0.0,entity | entity | entity | location | location,0.0
Hansel and Gretel,40,flew open,the door of the cottage,location,door,witch_captures_children,0.0,entity | entity | entity | location | location,0.333
Hansel and Gretel,41,came out,the old woman,unknown,,wander_forest_seeking_way_out,0.286,entity | entity | location,
Hansel and Gretel,42,dropped,their food,unknown,,witch_captures_children,0.0,entity | entity | entity | location | location,
Hansel and Gretel,43,led,the children,unknown,,witch_captures_children,0.0,entity | entity | entity | location | location,
Hansel and Gretel,44,set before,all kinds of delicious foods,unknown,,witch_captures_children,0.0,entity | entity | entity | location | location,
Hansel and Gretel,45,led,Hansel,entity,hansel,witch_captures_children,0.0,entity | entity | entity | location | location,0.333
Hansel and Gretel,46,shut,Hansel,entity,hansel,witch_captures_children,0.0,entity | entity | entity | location | location,0.333
Hansel and Gretel,47,left,Hansel,entity,hansel,leave_children_at_fire,0.667,entity | entity | entity | entity | location,0.333
Hansel and Gretel,48,shook,Gretel,unknown,,witch_captures_children,0.0,entity | entity | entity | location | location,
Hansel and Gretel,49,cooked,the choicest food,unknown,,witch_captures_children,0.0,entity | entity | entity | location | location,
Hansel and Gretel,50,held out,a bone,unknown,,wander_forest_seeking_way_out,0.286,entity | entity | location,
Hansel and Gretel,51,carried in,the water,unknown,,witch_captures_children,0.0,entity | entity | entity | location | location,
Hansel and Gretel,52,lit,the fire,unknown,,witch_captures_children,0.0,entity | entity | entity | location | location,
Hansel and Gretel,53,hung,the great pot of water,unknown,,witch_captures_children,0.0,entity | entity | entity | location | location,
Hansel and Gretel,54,kneaded,the dough,unknown,,witch_captures_children,0.0,entity | entity | entity | location | location,
Hansel and Gretel,55,heated,the oven,item,oven,witch_captures_children,0.0,entity | entity | entity | location | location,0.0
Hansel and Gretel,56,popped,her head,unknown,,witch_captures_children,0.0,entity | entity | entity | location | location,
Hansel and Gretel,57,pushed,the old witch,entity,witch,push_witch_into_oven,0.667,entity | entity | item | location,0.4
Hansel and Gretel,58,shut,the iron door,location,door,witch_captures_children,0.0,entity | entity | entity | location | location,0.333
Hansel and Gretel,59,shot,the bolt,unknown,,witch_captures_children,0.0,entity | entity | entity | location | location,
Hansel and Gretel,60,opened,the door of the stable,location,door,witch_captures_children,0.0,entity | entity | entity | location | location,0.333
Hansel and Gretel,61,flew from,Hansel,entity,hansel,witch_captures_children,0.0,entity | entity | entity | location | location,0.333
Hansel and Gretel,62,entered,Hansel | Gretel,entity | unknown,hansel | ,enter_witch_house,0.667,entity | entity | location,0.5
Hansel and Gretel,63,stuffed,his pockets | the jewels,unknown | unknown, | ,witch_captures_children,0.0,entity | entity | entity | location | location,
Hansel and Gretel,64,filled,her pinafore | precious gems,unknown | item, | precious_stone,witch_captures_children,0.0,entity | entity | entity | location | location,0.0
Hansel and Gretel,65,ran,Hansel | Gretel,entity | unknown,hansel | ,witch_captures_children,0.0,entity | entity | entity | location | location,0.333
Hansel and Gretel,66,came to,Hansel | Gretel,entity | unknown,hansel | ,witch_captures_children,0.0,entity | entity | entity | location | location,0.333
Hansel and Gretel,67,came,the duck,entity,duck,witch_captures_children,0.0,entity | entity | entity | location | location,0.333
Hansel and Gretel,68,carried,Hansel,entity,hansel,witch_captures_children,0.0,entity | entity | entity | location | location,0.333
Hansel and Gretel,69,carried,Gretel,unknown,,witch_captures_children,0.0,entity | entity | entity | location | location,
Hansel and Gretel,70,ran,Hansel | Gretel,entity | unknown,hansel | ,witch_captures_children,0.0,entity | entity | entity | location | location,0.333
Hansel and Gretel,71,rushed into,Hansel | Gretel,entity | unknown,hansel | ,witch_captures_children,0.0,entity | entity | entity | location | location,0.333
Hansel and Gretel,72,flung themselves into,Hansel | Gretel,entity | unknown,hansel | ,witch_captures_children,0.0,entity | entity | entity | location | location,0.333
Hansel and Gretel,73,shook out,her pinafore,unknown,,wander_forest_seeking_way_out,0.286,entity | entity | location,
Hansel and Gretel,74,emptied,his pockets,unknown,,witch_captures_children,0.0,entity | entity | entity | location | location,
Hansel and Gretel,75,runs,a little mouse,unknown,,witch_captures_children,0.0,entity | entity | entity | location | location,
Jack and the Beanstalk,1,sold,almost all the furniture of the little cottage,location,cottage,sell_cow_for_beans,0.5,entity | entity | entity | item | location,0.333
Jack and the Beanstalk,2,gave,milk,unknown,,steal_hen,0.0,entity | entity | item,
